Timestamp;Anzahl;Kritisch
2024-12-18 00:05:00;468;76
2024-12-18 01:05:00;138;68
2024-12-18 02:05:00;104;25
2024-12-18 03:05:00;754;319
2024-12-18 04:05:00;516;79
2024-12-18 05:05:00;376;20
2024-12-18 06:05:00;356;39
2024-12-18 07:05:00;798;87
2024-12-18 08:05:00;859;387
2024-12-18 09:05:00;843;116
2024-12-18 10:05:00;841;362
2024-12-18 11:05:00;673;5
2024-12-18 12:05:00;517;123
2024-12-18 13:05:00;351;6
2024-12-18 14:05:00;702;130
2024-12-18 15:05:00;316;30
2024-12-18 16:05:00;448;185
2024-12-18 17:05:00;147;6
2024-12-18 18:05:00;765;186
2024-12-18 19:05:00;851;82
2024-12-18 20:05:00;756;13
2024-12-18 21:05:00;296;60
2024-12-18 22:05:00;587;84
2024-12-18 23:05:00;256;20
