Timestamp;Anzahl;Kritisch
2024-11-07 00:05:00;722;4
2024-11-07 01:05:00;185;46
2024-11-07 02:05:00;842;110
2024-11-07 03:05:00;192;71
2024-11-07 04:05:00;618;156
2024-11-07 05:05:00;522;160
2024-11-07 06:05:00;411;115
2024-11-07 07:05:00;469;173
2024-11-07 08:05:00;511;46
2024-11-07 09:05:00;384;8
2024-11-07 10:05:00;787;23
2024-11-07 11:05:00;104;6
2024-11-07 12:05:00;858;131
2024-11-07 13:05:00;529;13
2024-11-07 14:05:00;160;10
2024-11-07 15:05:00;115;25
2024-11-07 16:05:00;562;143
2024-11-07 17:05:00;902;315
2024-11-07 18:05:00;132;25
2024-11-07 19:05:00;815;293
2024-11-07 20:05:00;256;70
2024-11-07 21:05:00;873;360
2024-11-07 22:05:00;953;408
2024-11-07 23:05:00;457;219
